REG-PERS-IDEN,30
REG-PERS-CODI,3
REG-PERS-CLAVDOCU,30
REG-PERS-FCAD,8
REG-PERS-NUME,10
REG-PERS-FIJU,1
REG-PERS-SUSE,2
REG-PERS-IRPF,1
REG-PERS-NOMB,60
REG-PERS-APELL1,60
REG-PERS-APELL2,60
REG-PERS-CLAVDOMI,30
REG-PERS-TIPD,2
REG-PERS-INDC,1
REG-PERS-SIGL,30
REG-PERS-CALLE,60
REG-PERS-DCOM,40
REG-PERS-MUNICIPIO,80
REG-PERS-CPOS,10
REG-PERS-PROV,2
REG-PERS-NUMV,5
REG-PERS-BLOQ,5
REG-PERS-PORT,5
REG-PERS-PISO,5
REG-PERS-PUER,5
REG-PERS-ESCA,5
REG-PERS-PAIS-RESI,2
REG-PERS-FNAC,8
REG-PERS-NACP,2
REG-PERS-NACI,2
REG-PERS-SEXO,2
REG-PERS-ORIG,100
REG-PERS-EMAIL,200
REG-PERS-TEL1,200
REG-PERS-CNAE,4
REG-PERS-TRAB,50
REG-PERS-PROF,100
